delta,R,C,L,W,step
12, 0.7200642226633722,0.02142857142857143,3.4634343434343435,-0.35102695499011893,159
8, 0.7205828627813214,0.02142857142857143,3.4608080808080808,-0.3520010543737429,160
9, 0.7217987327785079,0.02142857142857143,3.483030303030303,-0.3559042259334107,161
30, 0.7218039662619667,0.02142857142857143,3.4785858585858587,-0.35583937843182883,162
5, 0.7220167331869123,0.021095238095238097,3.464848484848485,-0.34979975912122074,163
1, 0.7221793934363577,0.021095238095238097,3.466060606060606,-0.35692775075568633,164
4, 0.7223708797608199,0.021095238095238097,3.4517171717171715,-0.3598394622435965,165
2, 0.7234097471386399,0.021095238095238097,3.4531313131313133,-0.36072444299652223,166
3, 0.7235479883170436,0.021095238095238097,3.452929292929293,-0.360748085389591,167
1, 0.723660486317426,0.032452380952380955,3.462020202020202,-0.36101653445309706,168
1, 0.7247439709120524,0.032452380952380955,3.4614141414141413,-0.3609728952714722,169
1, 0.7263355267412958,0.02011904761904762,3.451919191919192,-0.35587698535881573,170
31, 0.7264787771064184,0.02011904761904762,3.4444444444444446,-0.35606439972464793,171
16, 0.7265775869576637,0.02011904761904762,3.432929292929293,-0.3577733127254112,172
7, 0.7283062612220444,0.02,3.433333333333333,-0.350143465281797,173
2, 0.7314166806345903,0.02,3.4292929292929295,-0.33921975855482783,174
1, 0.7327547410448195,0.020190476190476193,3.4224242424242424,-0.3329525244147978,175
1, 0.7328589800318954,0.023190476190476195,3.4214141414141412,-0.3263633508072226,176
4, 0.7342460634129663,0.023190476190476195,3.4252525252525254,-0.32604502906033084,177
1, 0.7350519221689354,0.023190476190476195,3.4084848484848487,-0.3259052644233961,178
9, 0.7352723975883632,0.023190476190476195,3.4,-0.3291431452479991,179
3, 0.7371015606466702,0.023190476190476195,3.406868686868687,-0.3335557017363435,180
3, 0.737337878334123,0.023190476190476195,3.403232323232323,-0.3330741865614739,181
5, 0.7376304986160787,0.02252380952380953,3.402222222222222,-0.33474539555687927,182
2, 0.7387005242400445,0.02252380952380953,3.3937373737373737,-0.3351097738189228,183
3, 0.7392258096542864,0.02252380952380953,3.3925252525252527,-0.336657351306526,184
24, 0.7412188089392027,0.022642857142857145,3.391919191919192,-0.33440682520747245,185
14, 0.7412498764580386,0.021976190476190482,3.396161616161616,-0.3335528894917524,186
6, 0.7415016061864534,0.021976190476190482,3.395757575757576,-0.33055536372970845,187
11, 0.7421607669956194,0.021309523809523813,3.403636363636364,-0.33178048202400484,188
5, 0.7431671844166341,0.021309523809523813,3.4038383838383837,-0.3249858120975001,189
5, 0.7438041407254528,0.020976190476190478,3.4074747474747475,-0.34775204265331244,190
2, 0.7463074329549994,0.025642857142857144,3.414141414141414,-0.34794880716304327,191
10, 0.7464777039077467,0.025642857142857144,3.412929292929293,-0.3449844809516588,192
